game,subject,session,n_trials,p_move_empirical,p_move_chance,p_hold,chance_hit_rate,chance_hit_rate_lo,chance_hit_rate_hi,chance_broad_acc,chance_broad_acc_lo,chance_broad_acc_hi,chance_liberal_acc,chance_liberal_acc_lo,chance_liberal_acc_hi,chance_frac_correct_side,chance_frac_correct_side_lo,chance_frac_correct_side_hi,chance_mean_dist_final,chance_mean_dist_final_lo,chance_mean_dist_final_hi,chance_mean_min_dist,chance_mean_min_dist_lo,chance_mean_min_dist_hi
neurofeedback,Subject_001,Session_001,200,0.9948923285888112,0.9948923285888112,0.005107671411188772,0.0,0.0,0.0,2.9000000000000004e-05,1.9e-05,4e-05,0.48750599999999994,0.486525025,0.48853807500000007,0.47696616982681916,0.4762965290326976,0.4776912894104404,355.039988,354.96406774999997,355.10909975,326.79105400000003,326.74716470000004,326.83763585
neurofeedback,Subject_0010,Session_001,200,0.9898322599693676,0.9898322599693676,0.010167740030632392,0.0,0.0,0.0,2e-05,1.2e-05,2.9000000000000004e-05,0.48690900000000004,0.4858997,0.48794799999999994,0.47402113593299117,0.4733631172459305,0.47468593034985107,354.95038200000005,354.88570195000005,355.01727600000004,330.58567,330.547674,330.62425735
neurofeedback,Subject_002,Session_000,100,0.9815635465647305,0.9815635465647305,0.018436453435269444,0.0,0.0,0.0,2.6000000000000002e-05,1.4000000000000001e-05,4e-05,0.48821400000000004,0.4866779,0.48951825,0.47507465892103484,0.47403589596789364,0.47606633441495616,354.94066799999996,354.8485247,355.03868789999996,329.505632,329.4484882,329.56324099999995
neurofeedback,Subject_002,Session_001,200,0.9911588350465002,0.9911588350465002,0.008841164953499755,0.0,0.0,0.0,3.3e-05,2.2000000000000003e-05,4.5e-05,0.487387,0.48641597499999994,0.488354025,0.4757391236772424,0.4750678349303861,0.4764256123727295,354.975214,354.90293385,355.04663785,328.04028800000003,327.9977503,328.0807388
neurofeedback,Subject_002,Session_002,100,0.9807462445485382,0.9807462445485382,0.0192537554514618,0.0,0.0,0.0,2.6000000000000002e-05,1.2e-05,4e-05,0.487918,0.486476,0.4893624,0.47541371349588507,0.4744605123968733,0.4762924622579314,354.952272,354.86114439999994,355.0473975,328.973404,328.91054990000003,329.02906989999997
neurofeedback,Subject_003,Session_000,100,0.9775007601094557,0.9775007601094557,0.02249923989054424,0.0,0.0,0.0,1.8e-05,8e-06,3.0000000000000004e-05,0.487022,0.485724,0.48830405000000005,0.47332533274625294,0.47234580001689785,0.47434944851054645,354.959032,354.86841730000003,355.0500484,331.021104,330.966098,331.0754478
neurofeedback,Subject_003,Session_001,200,0.9872781128135188,0.9872781128135188,0.01272188718648113,0.0,0.0,0.0,9e-06,4e-06,1.5000000000000002e-05,0.485687,0.48479397499999993,0.4866530250000001,0.472462137252255,0.4718117183266025,0.47316946377205116,355.005784,354.94520945000005,355.06636115,332.18067399999995,332.14378854999995,332.2175785
neurofeedback,Subject_003,Session_002,100,0.9859117955897795,0.9859117955897795,0.01408820441022051,0.0,0.0,0.0,4.4e-05,2.4e-05,6.200000000000002e-05,0.48755,0.4861339,0.48886025,0.47561489972216653,0.4746435985747388,0.47664319642997166,355.02132800000004,354.9222168,355.1296636,327.499324,327.4361439,327.5584796
neurofeedback,Subject_003,Session_003,100,0.9851833660772756,0.9851833660772756,0.014816633922724295,0.0,0.0,0.0,3.8e-05,2.2e-05,5.6000000000000006e-05,0.488824,0.48747995000000005,0.49017625,0.4781986101209204,0.4772471611910439,0.4791890604060839,354.98374,354.8852141,355.0828144,326.321968,326.26068460000005,326.38684610000007
neurofeedback,Subject_004,Session_000,100,0.9860614724803431,0.9860614724803431,0.013938527519656898,0.0,0.0,0.0,6.400000000000001e-05,4e-05,8.604999999999996e-05,0.488922,0.48754780000000003,0.49033025,0.4778435519725328,0.4768161099548571,0.4788411406216215,355.0734,354.9538958,355.1789657,325.326504,325.2597391,325.3951406
neurofeedback,Subject_004,Session_001,200,0.9921249750790351,0.9921249750790351,0.00787502492096494,0.0,0.0,0.0,3.7e-05,2.6975000000000025e-05,4.802499999999998e-05,0.488175,0.4871787249999999,0.48913532500000007,0.47671297554020337,0.4759699716741384,0.47743876212650366,354.98127,354.90446034999997,355.05481764999996,327.04655,327.00408075,327.090909
neurofeedback,Subject_005,Session_001,200,0.9895988681121182,0.9895988681121182,0.010401131887881917,0.0,0.0,0.0,1.2e-05,6e-06,1.9e-05,0.48618,0.4852366000000001,0.4871290250000001,0.473057973732909,0.47234372692051885,0.4737159602922188,354.98978999999997,354.92652074999995,355.0544273,331.040636,331.00509565000004,331.07863629999997
neurofeedback,Subject_005,Session_002,100,0.9841461451794624,0.9841461451794624,0.015853854820537583,0.0,0.0,0.0,7.2e-05,4.8e-05,9.6e-05,0.48855200000000004,0.48723,0.4899625000000001,0.47761144972088115,0.47666641057027165,0.4785612884922882,354.972596,354.8690277,355.07999939999996,326.09801600000003,326.03535669999997,326.1593166
neurofeedback,Subject_006,Session_001,200,0.9925927935749945,0.9925927935749945,0.007407206425005426,0.0,0.0,0.0,3.2e-05,2.0975000000000022e-05,4.4024999999999986e-05,0.488001,0.48690085000000005,0.48905002499999994,0.4774193555611055,0.4767432663620546,0.47807799714207444,355.01597999999996,354.94657045,355.09058235,326.332586,326.29160465,326.37485245
neurofeedback,Subject_006,Session_002,100,0.98501142252187,0.98501142252187,0.014988577478130049,0.0,0.0,0.0,3.6e-05,1.9950000000000048e-05,5.4000000000000005e-05,0.489466,0.4880619,0.4908342,0.47732664433348326,0.47630356306255256,0.47833667905113375,354.91242800000003,354.8107702,355.0131768,326.815604,326.75202199999995,326.8779558
neurofeedback,Subject_006,Session_003,100,0.9854855603770762,0.9854855603770762,0.014514439622923836,0.0,0.0,0.0,3.8e-05,2.1950000000000046e-05,5.6000000000000006e-05,0.48761400000000005,0.48623775,0.4890083,0.4752170378216224,0.4742217432378811,0.47621849365158,355.03514,354.9286309,355.1400704,327.92484799999994,327.86621240000005,327.9868522
neurofeedback,Subject_007,Session_001,200,0.9926969577457126,0.9926969577457126,0.007303042254287307,0.0,0.0,0.0,4.500000000000001e-05,3.197500000000002e-05,5.800000000000001e-05,0.487708,0.48669565000000004,0.48867712500000005,0.47700590844839735,0.47628266603175523,0.47762411744060823,355.00956399999995,354.93943295,355.08080079999996,326.325948,326.28238504999996,326.37171685000004
neurofeedback,Subject_008,Session_001,200,0.9909972613517726,0.9909972613517726,0.009002738648227444,0.0,0.0,0.0,2.9999999999999997e-05,2e-05,4.1e-05,0.48811000000000004,0.487103175,0.489037275,0.475905540924468,0.47517549274676524,0.47661795525740963,354.988874,354.91250784999994,355.0561359,327.904646,327.8619059,327.94386635
neurofeedback,Subject_009,Session_001,100,0.9863908687119098,0.9863908687119098,0.013609131288090073,0.0,0.0,0.0,4.8e-05,2.9999999999999997e-05,6.604999999999998e-05,0.48956000000000005,0.48819379999999996,0.4908880499999999,0.477669982584647,0.4767616934995967,0.4786033905068558,354.999796,354.8952574,355.10888959999994,325.553748,325.4885767,325.61629899999997
